184175,190254
182722,186574
182329,185074
182782,188018
184538,185255
184262,186416
182026,188788
182259,189939
182566,184876
182259,182691
182027,190378
184463,188788
182692,185464
182259,182692
181618,189622
183405,188896
182783,189053
182692,189386
182567,187603
182566,185336
184673,186065
183358,187164
181618,189623
182454,185536
182054,183040
182692,185536
182485,183702
182567,189054
184251,188842
182472,188352
182054,186411
182849,190809
183250,186479
184673,185464
151816,152144
183364,185935
181358,181379
182856,183058
181755,188883
181755,183569
182089,185208
182026,187873
184414,186952
181379,185536
181755,189509
182126,185670
181379,184752
183703,184752
181441,189101
182472,186012
181755,186124
182473,190780
181617,189622
182566,185335
189778,282431
182484,187542
181894,185142
182783,185181
181743,185536
181378,187873
182522,184577
182782,187603
182455,188787
181378,187066
183369,188506
181617,185567
182566,186575
182323,190859
184505,188234
182246,187062
184373,190155
182259,190523
181788,188749
181754,187580
184191,187580
182566,185825
182126,189386
182863,188962
182260,188787
182457,182848
182863,188961
183594,184290
184251,186012
181499,183562
182455,185336
181788,188008
181499,182445
182126,186937
181909,186209
19972,20399
181379,186812
183359,184505
181836,182567
184505,185791
182055,188788
182567,182863
184538,186952
182259,189940
183979,184176
184667,187430
182692,184876
182285,188879
183214,188272
184616,188387
16576,16645
182539,184900
183898,184667
183328,189389
181670,188882
181378,186137
183153,190704
184505,189402
182485,188008
182692,189939
182783,184526
182472,190007
19650,21106
181499,183899
184168,187164
182905,183898
183786,188352
184195,185420
182456,185141
183214,183702
181618,185568
183368,189014
182134,183786
183368,186012
182417,184946
182054,186250
181499,183561
183214,184827
183560,186073
182027,186812
182864,187061
181893,182456
182567,190524
181754,184525
181669,188882
183189,188667
181499,183898
181669,187429
181378,186136
182566,185608
181670,186412
182567,186011
182566,189386
184374,190154
182198,188233
181755,186937
184505,187887
181822,182026
181893,186943
183328,190809
184240,189608
184666,190597
182642,186064
184667,190598
183365,187011
182566,188961
183259,185437
183502,189989
184262,189013
182026,188882
181754,186125
182546,185537
184374,190878
181669,182259
182849,185207
182117,189331
183925,189165
183702,188505
182923,187837
181686,190542
183794,186574
181754,186943
182848,190728
183347,185901
184667,187429
181854,187168
182567,189965
182691,186813
182329,185782
181755,187580
182455,188018
183227,184672
184108,189675
181460,190808
182567,185030
184277,187999
182692,186012
183215,189520
181837,190154
183668,184505
182691,189386
184278,188962
181378,183251
182260,188882
184538,186106
182567,189564
184196,188387
183703,184593
183235,185826
183368,186011
183747,188881
181323,189613
182721,185336
182259,189014
184673,187873
184275,185655
183502,186136
181812,184667
182566,182791
182692,189054
182027,189576
183121,183562
183702,184594
183925,189509
181789,188007
183405,186064
183546,188882
182688,182910
181836,186317
182090,186324
182722,188506
183647,190650
151817,152145
182175,188145
182133,185429
184080,187603
182133,182810
182307,182805
182423,186616
20551,20648
181785,189990
183749,188628
184374,187066
181589,189396
184505,190866
183419,184842
183526,187061
182783,186832
181529,184569
182307,189527
183328,184663
182484,190781
183189,187462
182423,190401
183924,186859
181743,188962
183694,189457
182566,186011
182782,185579
184061,186064
183153,186975
182329,184119
181956,182986
182259,186575
181812,183593
181915,188506
183120,186630
182179,190651
182538,190881
184214,187878
183703,185151
181471,185769
182961,187837
182470,184877
182484,185464
181527,186446
184080,190446
183055,188144
182691,185775
183459,184705
183786,190751
181686,189665
183754,185782
182536,185493
184413,186148
181686,190660
181893,188918
184242,185669
181461,181499
182473,183328
182457,189643
151137,151345
181837,189284
182445,186976
183214,183688
182417,189909
181813,184666
182537,183251
181664,182522
183153,185207
183419,185055
181813,182856
183188,189981
182849,185791
181670,190442
183419,185073
184276,187436
183667,186813
184537,186982
182142,187513
183901,188365
183368,190829
184506,185420
19517,20075
181379,187566
182372,187436
182089,189671
182805,183266
184025,189191
184108,187513
182260,190728
183347,188633
184262,186415
181822,183251
182728,184978
181687,189613
184593,188462
184277,186435
150183,151801
184525,186249
181837,190378
181823,183702
184607,185430
182150,189411
184150,190779
182777,184608
183011,185924
183275,189158
182134,185437
183315,185657
181663,189761
184348,184440
182051,188748
182457,182849
184348,185900
18629,20956
182530,185595
181686,182742
182566,185030
184672,184946
182455,186250
181788,190484
19709,20262
182455,185029
57558,59691
182259,186012
184670,185116
183541,189330
184413,187557
183153,183812
182180,184413
184667,189100
184516,186069
20399,20621
150487,151973
183673,187436
182333,182471
184060,187592
20711,20738
181686,186391
184567,186317
182238,187595
19063,19432
183278,187062
182691,189014
184192,190904
182485,188667
183693,189458
183554,189577
183980,190855
181378,188365
184667,184824
184023,187826
18653,19767
184081,187066
182912,184505
182782,185580
184195,187887
181763,182542
182176,182538
182105,183171
18977,19419
182855,185054
184530,189061
182133,183749
182260,189013
181528,188231
183411,189622
183981,187554
181670,186087
181910,188169
184613,187842
184577,190402
181755,189127
181742,190348
182721,185544
181813,182422
183739,184076
181529,182961
181664,189909
16851,16889
182260,185029
20407,20850
19185,21227
20672,20712
20771,21226
182904,188633
57925,58922
18359,20381
181358,181853
20076,20718
183578,183777
183545,186250
19006,20537
57925,59993
182259,185030
182260,185030
16576,16611
18287,19458
181762,184050
183117,188379
57558,59650
150639,153400
19111,19546
19141,20839
181618,184700
182027,186250
182905,188324
183795,185029
181686,190638
183055,188140
20075,20808
183063,186656
183153,190619
183234,190855
184537,190134
182176,185155
183787,188139
18912,19944
183012,186249
182054,189465
19204,20394
181435,189771
58824,60180
182668,188922
182692,187387
182402,190135
183297,189458
183546,186249
17079,17252
150434,153476
184252,188230
182782,186250
59301,59319
183460,184928
182259,184929
182260,189901
182566,186727
181435,185544
182824,190078
182783,186249
181414,188931
57646,58091
183250,187733
18781,19631
151859,152281
183280,190620
183153,184341
184129,187461
58011,58065
20266,20740
182668,187857
182555,189771
184081,188646
18292,21037
151512,153398
183985,185595
57597,57646
150509,151472
184289,184778
19709,19872
58273,58610
182421,184612
151912,153400
182727,183067
184242,188855
182557,189644
182214,188804
183074,188161
151514,152655
183359,188324
183074,183668
151378,151860
17762,18077
20717,20903
181435,188328
17418,17586
16576,16593
181822,187753
152859,153536
150884,152548
108773,108815
19255,21157
19873,20809
87823,88625
18812,19449
20732,21157
18846,20502
150507,151495
182972,190517
21126,21213
181625,183365
16576,16606
16576,16659
183359,188325
16576,16587
20967,21115
150360,150714
181425,181491
181795,184913
181669,190620
210526,211218
182567,182721
57747,58117
152043,152548
183702,188329
57534,58076
151945,153606
183562,184046
182237,185032
181916,187370
18920,19968
181955,189555
17174,17372
184119,185466
19419,19832
16576,16607
151293,151860
20737,20770
150914,153518
59609,59861
210657,211106
59100,59186
153497,153663
181837,190077
19419,20621
181354,189909
59633,59819
18883,20095
182566,187547
58779,59420
58120,59650
18912,19914
18921,20392
182721,183067
20241,21115
152066,152501
183621,190865
184198,189961
19969,21213
17191,17372
